LeadID,RepID,LeadSource,Industry,CompanySize,DateCreated,IsConverted
1,16,Webinar,Manufacturing,SMB,2025-02-16,0
2,15,Cold Call,Healthcare,Mid-Market,2025-06-04,0
3,15,Webinar,Retail,Mid-Market,2025-08-22,0
4,19,Cold Call,Retail,SMB,2025-06-08,0
5,12,Cold Call,Manufacturing,Enterprise,2025-01-16,0
6,20,Organic Search,Healthcare,Enterprise,2025-10-13,0
7,3,Organic Search,Retail,Mid-Market,2025-06-06,0
8,5,Webinar,Retail,Mid-Market,2025-11-05,0
9,19,Webinar,Manufacturing,SMB,2025-08-10,0
10,7,Paid Social,Finance,SMB,2025-06-02,0
11,9,Webinar,Tech,SMB,2025-02-18,0
12,7,Cold Call,Healthcare,SMB,2025-08-16,0
13,18,Webinar,Retail,Mid-Market,2025-12-08,0
14,4,Organic Search,Retail,SMB,2025-12-13,0
15,14,Cold Call,Retail,SMB,2025-03-25,0
16,18,Paid Social,Finance,Mid-Market,2025-04-06,1
17,9,Cold Call,Tech,SMB,2025-08-09,0
18,2,Organic Search,Manufacturing,SMB,2025-03-17,0
19,20,Paid Social,Healthcare,SMB,2025-04-14,0
20,15,Cold Call,Finance,SMB,2025-02-26,0
21,7,Organic Search,Retail,SMB,2025-12-05,0
22,12,Referral,Tech,Mid-Market,2025-09-27,1
23,8,Referral,Tech,SMB,2025-02-18,0
24,15,Webinar,Tech,Mid-Market,2025-06-13,1
25,3,Paid Social,Manufacturing,SMB,2025-12-22,0
26,14,Organic Search,Healthcare,SMB,2025-10-20,0
27,17,Paid Social,Retail,SMB,2025-05-11,0
28,4,Organic Search,Finance,Mid-Market,2025-05-02,0
29,18,Cold Call,Finance,SMB,2025-07-22,0
30,8,Organic Search,Finance,SMB,2025-11-30,0
31,4,Paid Social,Finance,Mid-Market,2025-12-10,0
32,2,Organic Search,Retail,SMB,2025-12-12,0
33,6,Organic Search,Healthcare,SMB,2025-11-10,0
34,10,Webinar,Retail,SMB,2025-09-12,1
35,4,Webinar,Finance,SMB,2025-08-29,0
36,18,Cold Call,Healthcare,Enterprise,2025-09-29,0
37,12,Organic Search,Manufacturing,Enterprise,2025-11-09,1
38,2,Webinar,Healthcare,Enterprise,2025-10-28,0
39,10,Webinar,Manufacturing,Enterprise,2025-09-19,0
40,4,Webinar,Retail,Enterprise,2025-01-26,1
41,14,Cold Call,Manufacturing,Mid-Market,2025-09-23,0
42,16,Organic Search,Manufacturing,SMB,2025-05-27,0
43,15,Organic Search,Healthcare,Enterprise,2025-02-17,0
44,8,Webinar,Retail,SMB,2025-12-03,0
45,14,Webinar,Healthcare,SMB,2025-12-11,0
46,8,Paid Social,Tech,Enterprise,2025-09-28,0
47,16,Paid Social,Manufacturing,Mid-Market,2025-07-14,0
48,13,Cold Call,Healthcare,SMB,2025-02-09,0
49,18,Webinar,Retail,Enterprise,2025-03-08,0
50,15,Referral,Healthcare,SMB,2025-09-11,1
51,13,Cold Call,Tech,SMB,2025-12-11,0
52,9,Organic Search,Manufacturing,SMB,2025-02-13,0
53,15,Organic Search,Tech,Mid-Market,2025-11-23,0
54,13,Referral,Tech,SMB,2025-08-27,1
55,1,Webinar,Manufacturing,SMB,2025-09-04,0
56,7,Organic Search,Tech,SMB,2025-06-07,0
57,9,Organic Search,Manufacturing,Mid-Market,2025-07-31,0
58,1,Referral,Manufacturing,SMB,2025-12-10,0
59,12,Paid Social,Finance,SMB,2025-07-03,0
60,8,Cold Call,Retail,SMB,2025-02-25,0
61,11,Cold Call,Healthcare,Mid-Market,2025-04-01,0
62,19,Webinar,Healthcare,Enterprise,2025-10-16,0
63,17,Webinar,Retail,Enterprise,2025-03-22,0
64,8,Organic Search,Tech,SMB,2025-12-17,0
65,3,Cold Call,Retail,SMB,2025-11-07,0
66,3,Organic Search,Manufacturing,SMB,2025-06-16,0
67,1,Webinar,Manufacturing,SMB,2025-09-04,0
68,5,Webinar,Healthcare,Enterprise,2025-04-07,1
69,10,Organic Search,Finance,SMB,2025-07-18,0
70,7,Organic Search,Tech,Mid-Market,2025-02-16,0
71,9,Organic Search,Retail,SMB,2025-10-14,0
72,7,Cold Call,Manufacturing,SMB,2025-12-12,0
73,9,Organic Search,Manufacturing,Mid-Market,2025-07-14,0
74,8,Referral,Finance,SMB,2025-07-12,0
75,12,Referral,Manufacturing,SMB,2025-03-22,0
76,2,Cold Call,Retail,SMB,2025-07-22,0
77,1,Webinar,Healthcare,SMB,2025-01-12,0
78,16,Paid Social,Healthcare,SMB,2025-01-08,0
79,5,Webinar,Tech,SMB,2025-10-15,0
80,3,Organic Search,Retail,Mid-Market,2025-03-19,0
81,12,Organic Search,Manufacturing,SMB,2025-03-03,0
82,8,Paid Social,Manufacturing,SMB,2025-12-18,0
83,3,Cold Call,Retail,SMB,2025-03-18,0
84,1,Organic Search,Healthcare,Mid-Market,2025-02-27,0
85,3,Cold Call,Manufacturing,SMB,2025-07-02,0
